support.logger 2024-07-21 01:33:57,280 ERROR Expected text is Congratulations! You must have the proper credentials., but got None
support.logger 2024-07-21 01:33:57,363 INFO Closing the browser
support.logger 2024-07-21 01:33:59,457 INFO Chrome starts
support.logger 2024-07-21 01:34:00,797 INFO Opening page https://the-internet.herokuapp.com
support.logger 2024-07-21 01:34:03,262 INFO Opening page https://the-internet.herokuapp.com/context_menu
support.logger 2024-07-21 01:34:03,465 INFO Getting original driver from selenium
support.logger 2024-07-21 01:34:03,465 INFO Context Menu is opening
support.logger 2024-07-21 01:34:03,465 INFO Context Menu page is opening
support.logger 2024-07-21 01:34:03,466 INFO Waiting for presence of element
support.logger 2024-07-21 01:34:03,476 INFO Right click on context menu
support.logger 2024-07-21 01:34:03,477 INFO Waiting for presence of element
support.logger 2024-07-21 01:34:03,483 INFO Right click on element
support.logger 2024-07-21 01:34:03,760 INFO Alert is opening
support.logger 2024-07-21 01:34:03,762 INFO Switching to alert
support.logger 2024-07-21 01:34:03,762 INFO Getting  alert text
support.logger 2024-07-21 01:34:03,763 INFO Accept the alert
support.logger 2024-07-21 01:34:03,766 INFO Closing the browser
support.logger 2024-07-21 01:34:09,954 INFO Chrome starts
support.logger 2024-07-21 01:34:11,296 INFO Opening page https://the-internet.herokuapp.com
support.logger 2024-07-21 01:34:14,454 INFO Opening page https://the-internet.herokuapp.com/windows
support.logger 2024-07-21 01:34:14,660 INFO Getting original driver from selenium
support.logger 2024-07-21 01:34:14,660 INFO Handlers page is opening
support.logger 2024-07-21 01:34:14,660 INFO Waiting for presence of element
support.logger 2024-07-21 01:34:14,674 INFO Clicking on element
support.logger 2024-07-21 01:34:14,745 INFO Switch to new window
support.logger 2024-07-21 01:34:14,756 INFO Getting element ('xpath', "//div[@class='example']/h3") text
support.logger 2024-07-21 01:34:14,976 INFO Get window title
support.logger 2024-07-21 01:34:17,980 INFO Switch to new window
support.logger 2024-07-21 01:34:20,994 INFO Handlers page is opening
support.logger 2024-07-21 01:34:20,994 INFO Waiting for presence of element
support.logger 2024-07-21 01:34:21,000 ERROR Handler page does not open
support.logger 2024-07-21 01:34:25,099 INFO Closing the browser
support.logger 2024-07-21 01:34:27,232 INFO Chrome starts
support.logger 2024-07-21 01:34:28,584 INFO Opening page https://the-internet.herokuapp.com
support.logger 2024-07-21 01:34:31,206 INFO Opening page https://the-internet.herokuapp.com//hovers
support.logger 2024-07-21 01:34:31,597 INFO Getting original driver from selenium
support.logger 2024-07-21 01:34:31,597 INFO Hovers is opening
support.logger 2024-07-21 01:34:31,598 INFO Hovers page is opening
support.logger 2024-07-21 01:34:31,598 INFO Waiting for presence of element
support.logger 2024-07-21 01:34:31,605 INFO Waiting for presence list of elements
support.logger 2024-07-21 01:34:31,613 INFO 
support.logger 2024-07-21 01:34:33,890 INFO Getting element ('xpath', "//div[@class='figcaption']//h5") text
support.logger 2024-07-21 01:34:33,914 INFO 
support.logger 2024-07-21 01:34:36,185 INFO Getting element ('xpath', "//div[@class='figcaption']//h5") text
support.logger 2024-07-21 01:34:50,505 INFO Closing the browser
